session_id,src_port,dst_port,session_count,timestamp,during
00:00:00:00:00:01,9060,8443,20,28972,12
00:00:00:00:00:02,62734,8080,48,28973,8
00:00:00:00:00:01,10666,143,13,28974,147
00:00:00:00:00:03,23978,138,14,28976,241
00:00:00:00:00:03,28833,21,12,28978,61
00:00:00:00:00:01,53735,8443,35,28979,27
00:00:00:00:00:01,8040,5061,27,28982,68
00:00:00:00:00:02,51738,25,16,28983,130
00:00:00:00:00:03,58502,22,25,28987,189
00:00:00:00:00:02,45272,8443,40,28987,151
00:00:00:00:00:02,45377,53,40,28990,219
00:00:00:00:00:03,40978,8080,13,28992,103
00:00:00:00:00:01,23781,8080,30,28992,298
00:00:00:00:00:02,15035,22,8,28993,242
00:00:00:00:00:01,14377,995,47,28998,217
00:00:00:00:00:03,64088,80,36,29004,96
00:00:00:00:00:01,51982,8000,12,29005,204
00:00:00:00:00:01,3990,5432,37,29006,44
00:00:00:00:00:02,33305,25,16,29006,173
00:00:00:00:00:03,48890,80,42,29008,137
00:00:00:00:00:01,54232,443,25,29009,23
00:00:00:00:00:01,23993,80,31,29010,151
00:00:00:00:00:03,12194,8000,3,29011,143
00:00:00:00:00:03,54676,8080,24,29011,25
00:00:00:00:00:01,40451,80,32,29015,269
00:00:00:00:00:02,53199,53,16,29021,273
00:00:00:00:00:02,37723,8443,36,29023,123
00:00:00:00:00:01,48553,20,12,29024,21
00:00:00:00:00:01,34227,8443,23,29027,8
00:00:00:00:00:01,26761,8443,44,29030,85
00:00:00:00:00:03,7705,22,6,29032,165
00:00:00:00:00:03,64322,53,35,29036,183
00:00:00:00:00:02,18742,5060,6,29039,124
00:00:00:00:00:02,40750,465,15,29043,128
00:00:00:00:00:01,64447,138,27,29043,291
00:00:00:00:00:02,17994,8443,28,29044,234
00:00:00:00:00:01,5908,8080,14,29046,73
00:00:00:00:00:02,54184,8443,6,29049,247
00:00:00:00:00:02,53138,8443,48,29049,88
00:00:00:00:00:03,15194,22,19,29051,275
00:00:00:00:00:02,54770,8000,23,29052,186
00:00:00:00:00:02,61547,443,43,29057,234
00:00:00:00:00:03,35890,22,31,29059,57
00:00:00:00:00:03,43548,8080,27,29061,155
00:00:00:00:00:01,61551,8443,38,29066,23
00:00:00:00:00:03,47509,139,42,29068,114
00:00:00:00:00:03,38154,995,2,29072,15
00:00:00:00:00:01,29276,995,14,29073,107
00:00:00:00:00:03,37576,53,43,29073,65
00:00:00:00:00:02,17850,443,8,29075,138
00:00:00:00:00:02,42152,8443,44,29075,185
00:00:00:00:00:01,65060,8080,36,29075,218
00:00:00:00:00:01,32061,8000,13,29076,32
00:00:00:00:00:02,10574,135,47,29076,100
00:00:00:00:00:02,50961,993,4,29077,155
00:00:00:00:00:03,39796,53,40,29083,160
00:00:00:00:00:02,55653,8443,27,29084,220
00:00:00:00:00:03,20558,465,27,29084,29
00:00:00:00:00:01,10745,8080,8,29084,32
00:00:00:00:00:02,1640,8080,12,29086,108
00:00:00:00:00:01,56821,465,49,29088,96
00:00:00:00:00:02,52909,5061,22,29092,112
00:00:00:00:00:02,64418,21,42,29092,144
00:00:00:00:00:01,52570,8443,10,29094,282
00:00:00:00:00:01,15942,8080,15,29096,70
00:00:00:00:00:03,60493,443,36,29097,101
00:00:00:00:00:03,38139,80,3,29098,238
00:00:00:00:00:01,10984,8080,46,29098,282
00:00:00:00:00:01,8695,993,31,29099,23
00:00:00:00:00:01,35310,8080,12,29101,243
00:00:00:00:00:03,32426,8443,45,29101,113
00:00:00:00:00:02,12399,80,6,29103,226
00:00:00:00:00:01,39696,8080,43,29104,211
00:00:00:00:00:03,63107,8000,30,29105,15
00:00:00:00:00:02,60777,443,11,29106,118
00:00:00:00:00:01,42170,443,10,29109,264
00:00:00:00:00:03,17358,8080,1,29112,73
00:00:00:00:00:03,62332,8080,1,29119,265
00:00:00:00:00:03,19247,8080,8,29123,35
00:00:00:00:00:03,26525,8443,35,29124,38
00:00:00:00:00:03,62875,3306,18,29125,274
00:00:00:00:00:02,38287,445,41,29127,245
00:00:00:00:00:01,31016,443,45,29128,206
00:00:00:00:00:02,3964,8080,43,29130,229
00:00:00:00:00:02,13012,22,48,29130,170
00:00:00:00:00:03,28229,443,45,29132,226
00:00:00:00:00:01,29171,465,2,29134,86
00:00:00:00:00:01,61529,53,20,29134,244
00:00:00:00:00:03,15472,80,43,29137,181
00:00:00:00:00:02,50976,8080,4,29140,112
00:00:00:00:00:03,27144,20,1,29140,175
00:00:00:00:00:03,45475,443,37,29140,203
00:00:00:00:00:02,38392,20,44,29143,29
00:00:00:00:00:03,58975,8443,18,29146,171
00:00:00:00:00:03,4296,8443,35,29146,6
00:00:00:00:00:01,14730,8000,25,29148,11
00:00:00:00:00:02,56911,445,10,29149,129
00:00:00:00:00:01,30306,8443,32,29150,20
00:00:00:00:00:01,22164,8443,11,29155,166
00:00:00:00:00:01,31869,445,24,29159,39
00:00:00:00:00:03,35943,80,27,29160,221
00:00:00:00:00:03,61403,80,19,29160,230
00:00:00:00:00:02,14995,80,42,29161,256
00:00:00:00:00:03,49120,8443,17,29162,32
00:00:00:00:00:01,51812,445,9,29164,266
00:00:00:00:00:03,36688,21,30,29165,260
00:00:00:00:00:02,41633,443,16,29166,54
00:00:00:00:00:02,40330,22,7,29168,18
00:00:00:00:00:02,42850,5061,44,29171,260
00:00:00:00:00:01,44205,138,16,29172,249
00:00:00:00:00:01,5392,53,6,29173,157
00:00:00:00:00:03,5177,21,11,29174,133
00:00:00:00:00:01,9298,443,38,29176,49
00:00:00:00:00:01,64302,443,16,29176,136
00:00:00:00:00:02,65518,995,28,29177,177
00:00:00:00:00:02,33137,22,5,29180,238
00:00:00:00:00:02,33955,8080,41,29185,145
00:00:00:00:00:03,33662,53,19,29188,21
00:00:00:00:00:02,49798,8080,39,29190,102
00:00:00:00:00:02,8688,80,23,29194,142
00:00:00:00:00:01,19469,80,14,29195,106
00:00:00:00:00:03,35229,8443,16,29198,279
00:00:00:00:00:03,21645,5061,20,29198,1
00:00:00:00:00:01,6343,3306,15,29199,270
00:00:00:00:00:01,32780,8443,46,29202,145
00:00:00:00:00:02,16910,443,40,29204,56
00:00:00:00:00:01,47560,21,10,29204,176
00:00:00:00:00:02,6683,80,29,29210,284
00:00:00:00:00:01,5414,8000,28,29216,240
00:00:00:00:00:02,5517,80,10,29217,239
00:00:00:00:00:01,18017,80,47,29218,171
00:00:00:00:00:03,13687,8443,39,29219,277
00:00:00:00:00:01,4980,8443,12,29222,250
00:00:00:00:00:01,25583,21,42,29223,277
00:00:00:00:00:02,1983,8080,40,29223,94
00:00:00:00:00:01,53874,20,47,29223,160
00:00:00:00:00:01,38734,20,49,29225,108
00:00:00:00:00:01,61943,22,28,29231,194
00:00:00:00:00:01,51811,8080,20,29231,106
00:00:00:00:00:03,2312,80,13,29233,67
00:00:00:00:00:03,63476,22,40,29236,210
00:00:00:00:00:02,43596,5432,28,29238,286
00:00:00:00:00:03,23371,53,35,29238,244
00:00:00:00:00:01,25787,8443,15,29238,69
00:00:00:00:00:02,27949,143,33,29240,271
00:00:00:00:00:03,2362,5060,10,29241,21
00:00:00:00:00:02,58973,8443,16,29244,9
00:00:00:00:00:03,18272,22,26,29250,65
00:00:00:00:00:03,7480,53,11,29251,119
00:00:00:00:00:02,40979,80,44,29251,245
00:00:00:00:00:01,7764,80,50,29253,54
00:00:00:00:00:03,25551,8443,5,29257,133
00:00:00:00:00:01,41622,8000,4,29258,228
00:00:00:00:00:02,53255,5432,47,29258,222
00:00:00:00:00:02,27814,138,13,29259,65
00:00:00:00:00:02,52751,8000,46,29259,245
00:00:00:00:00:02,57722,8443,31,29259,212
00:00:00:00:00:01,28306,80,48,29260,255
00:00:00:00:00:01,58451,443,30,29261,28
00:00:00:00:00:02,23598,8080,28,29264,9
00:00:00:00:00:02,15641,5432,43,29266,138
00:00:00:00:00:02,14673,20,1,29268,128
00:00:00:00:00:02,14798,80,49,29273,171
00:00:00:00:00:01,56341,5061,21,29278,54
00:00:00:00:00:03,39201,8080,14,29279,2
00:00:00:00:00:02,58173,8443,21,29280,5
00:00:00:00:00:01,43452,995,26,29284,242
00:00:00:00:00:01,61314,138,23,29284,190
00:00:00:00:00:03,10943,22,20,29288,125
00:00:00:00:00:02,20314,21,29,29292,132
00:00:00:00:00:02,14159,993,28,29296,66
00:00:00:00:00:01,50210,135,20,29296,230
00:00:00:00:00:02,53762,8080,36,29298,218
00:00:00:00:00:01,2704,587,33,29299,14
00:00:00:00:00:03,24378,8443,3,29299,215
00:00:00:00:00:02,10129,995,7,29302,216
00:00:00:00:00:01,11632,20,43,29305,27
00:00:00:00:00:01,24995,995,48,29306,52
00:00:00:00:00:01,51894,443,5,29309,27
00:00:00:00:00:01,51691,80,22,29309,84
00:00:00:00:00:01,33786,53,28,29311,102
00:00:00:00:00:01,24682,8080,49,29313,168
00:00:00:00:00:01,65455,8443,20,29313,112
00:00:00:00:00:01,54218,5061,47,29314,135
00:00:00:00:00:01,31922,8000,11,29314,262
00:00:00:00:00:02,40909,110,18,29315,212
00:00:00:00:00:03,1429,143,13,29317,174
00:00:00:00:00:03,18206,443,16,29317,33
00:00:00:00:00:02,1583,443,7,29326,299
00:00:00:00:00:01,53840,5061,23,29326,8
00:00:00:00:00:02,44658,80,34,29328,57
00:00:00:00:00:03,15584,5060,16,29328,77
00:00:00:00:00:02,41698,22,47,29330,11
00:00:00:00:00:03,41258,8080,40,29331,247
00:00:00:00:00:03,15080,8443,25,29331,58
00:00:00:00:00:02,61712,5432,41,29338,235
00:00:00:00:00:03,64378,443,13,29340,101
00:00:00:00:00:02,44358,465,42,29344,114
00:00:00:00:00:03,27783,80,40,29344,62
00:00:00:00:00:01,58829,53,21,29349,19
00:00:00:00:00:01,61048,22,11,29350,20
00:00:00:00:00:02,36127,8000,24,29350,265
00:00:00:00:00:02,65156,8000,5,29350,31
00:00:00:00:00:01,14436,8080,29,29350,180
00:00:00:00:00:01,53277,465,10,29353,255
00:00:00:00:00:03,56299,8080,34,29353,74
00:00:00:00:00:02,13648,8080,2,29358,95
00:00:00:00:00:03,57875,80,20,29362,102
00:00:00:00:00:02,15876,22,46,29363,97
00:00:00:00:00:02,48386,587,9,29363,237
00:00:00:00:00:03,52004,80,5,29367,35
00:00:00:00:00:03,39239,53,25,29369,30
00:00:00:00:00:03,25999,8443,23,29371,30
00:00:00:00:00:03,9629,8443,2,29372,248
00:00:00:00:00:01,8238,21,1,29372,150
00:00:00:00:00:01,23371,5060,4,29372,248
00:00:00:00:00:03,11475,8080,17,29373,263
00:00:00:00:00:02,42303,80,31,29375,208
00:00:00:00:00:02,2771,443,40,29377,41
00:00:00:00:00:03,20962,5432,2,29377,232
00:00:00:00:00:02,27825,8080,16,29377,127
00:00:00:00:00:03,20944,5432,22,29380,204
00:00:00:00:00:02,48435,8000,49,29381,235
00:00:00:00:00:01,59987,80,1,29381,70
00:00:00:00:00:03,24697,53,39,29382,235
00:00:00:00:00:01,10338,53,20,29382,168
00:00:00:00:00:01,41129,8000,23,29385,162
00:00:00:00:00:01,42789,8000,13,29385,257
00:00:00:00:00:01,16908,20,46,29387,125
00:00:00:00:00:03,6476,8080,6,29392,211
00:00:00:00:00:02,57885,587,37,29392,246
00:00:00:00:00:01,63867,8080,10,29393,58
00:00:00:00:00:02,43448,443,13,29395,218
00:00:00:00:00:03,60267,443,21,29397,269
00:00:00:00:00:02,26614,8080,49,29401,93
00:00:00:00:00:01,9716,8443,34,29402,268
00:00:00:00:00:01,46008,3306,8,29402,130
00:00:00:00:00:02,2192,5060,10,29403,47
00:00:00:00:00:02,46200,5061,16,29403,284
00:00:00:00:00:02,43347,995,16,29404,27
00:00:00:00:00:03,52534,110,23,29405,192
00:00:00:00:00:03,22299,8443,32,29406,125
00:00:00:00:00:01,48768,5060,13,29409,135
00:00:00:00:00:03,4963,443,19,29410,270
00:00:00:00:00:03,17330,80,1,29412,15
00:00:00:00:00:01,36301,443,31,29413,270
00:00:00:00:00:03,3372,110,2,29415,100
00:00:00:00:00:01,25684,22,46,29418,151
00:00:00:00:00:03,37708,8000,46,29419,36
00:00:00:00:00:02,15405,8443,23,29421,16
00:00:00:00:00:03,65087,21,3,29423,36
00:00:00:00:00:03,1974,80,16,29430,184
00:00:00:00:00:02,11586,443,43,29430,148
00:00:00:00:00:02,48549,8443,1,29434,72
00:00:00:00:00:02,54063,465,46,29435,170
00:00:00:00:00:01,32170,995,18,29436,106
00:00:00:00:00:03,48078,143,20,29440,188
00:00:00:00:00:01,47717,8080,14,29440,77
00:00:00:00:00:01,22960,5432,46,29440,181
00:00:00:00:00:01,47999,80,31,29442,183
00:00:00:00:00:02,51301,5061,43,29443,296
00:00:00:00:00:03,3738,20,15,29443,282
00:00:00:00:00:02,41201,25,10,29446,151
00:00:00:00:00:02,27143,8000,29,29448,228
00:00:00:00:00:02,36882,995,4,29448,230
00:00:00:00:00:02,41372,443,12,29450,211
00:00:00:00:00:03,57232,20,31,29454,114
00:00:00:00:00:01,54058,8000,34,29455,191
00:00:00:00:00:03,3175,5060,19,29456,57
00:00:00:00:00:02,13699,53,18,29456,119
00:00:00:00:00:03,42248,8443,47,29457,294
00:00:00:00:00:02,16902,22,8,29459,31
00:00:00:00:00:03,22320,80,2,29459,240
00:00:00:00:00:01,19503,80,39,29467,285
00:00:00:00:00:03,21383,80,25,29472,114
00:00:00:00:00:03,51035,993,7,29472,285
00:00:00:00:00:01,51491,443,26,29474,287
00:00:00:00:00:03,5357,5060,35,29477,282
00:00:00:00:00:03,54372,8080,1,29479,134
00:00:00:00:00:01,32621,8000,16,29480,155
00:00:00:00:00:03,46711,443,25,29482,268
00:00:00:00:00:01,32867,53,45,29485,290
00:00:00:00:00:01,53402,143,24,29487,192
00:00:00:00:00:01,60052,21,13,29488,222
00:00:00:00:00:02,2818,20,30,29492,66
00:00:00:00:00:02,49202,8080,30,29494,163
00:00:00:00:00:03,61476,8080,35,29495,141
00:00:00:00:00:01,50923,22,46,29498,20
00:00:00:00:00:01,12519,20,6,29499,244
00:00:00:00:00:03,18567,8443,48,29501,96
00:00:00:00:00:01,16633,8000,5,29501,145
00:00:00:00:00:02,39427,8080,46,29504,139
00:00:00:00:00:02,36741,8080,22,29505,29
00:00:00:00:00:02,19507,587,7,29505,191
00:00:00:00:00:03,41341,137,39,29506,238
00:00:00:00:00:03,55339,8080,3,29508,242
00:00:00:00:00:03,21221,80,28,29508,262
00:00:00:00:00:02,54365,20,3,29514,292
00:00:00:00:00:01,13618,25,27,29516,31
00:00:00:00:00:03,37913,443,8,29516,291
00:00:00:00:00:01,22776,22,16,29516,106
00:00:00:00:00:01,11031,995,36,29518,225
00:00:00:00:00:02,45004,8080,31,29520,202
00:00:00:00:00:03,55678,8443,1,29523,94
00:00:00:00:00:02,50147,5060,43,29523,261
00:00:00:00:00:02,9197,8000,45,29524,40
00:00:00:00:00:02,20273,21,33,29527,265
00:00:00:00:00:01,14628,21,44,29531,40
00:00:00:00:00:03,6359,5432,13,29532,90
00:00:00:00:00:02,22761,137,13,29533,220
00:00:00:00:00:03,50588,8443,15,29536,15
00:00:00:00:00:01,26585,8443,44,29537,60
00:00:00:00:00:01,18533,20,49,29537,49
00:00:00:00:00:03,16286,8080,45,29539,260
00:00:00:00:00:01,61580,80,25,29541,155
00:00:00:00:00:01,14210,8443,44,29542,18
00:00:00:00:00:01,48877,22,9,29545,153
00:00:00:00:00:03,23390,80,15,29547,71
00:00:00:00:00:03,17031,443,10,29547,294
00:00:00:00:00:02,14368,80,37,29548,110
00:00:00:00:00:01,38053,443,12,29550,90
00:00:00:00:00:02,49082,110,31,29551,89
00:00:00:00:00:03,40084,80,2,29552,144
00:00:00:00:00:03,5444,587,28,29555,185
00:00:00:00:00:02,33310,25,44,29559,250
00:00:00:00:00:02,12666,80,20,29559,147
00:00:00:00:00:01,1082,53,48,29560,283
00:00:00:00:00:02,5876,80,10,29561,137
00:00:00:00:00:01,33956,143,13,29562,13
00:00:00:00:00:03,52746,8000,39,29564,273
00:00:00:00:00:02,63314,137,22,29565,181
00:00:00:00:00:02,58143,8443,24,29568,16
00:00:00:00:00:02,20704,8080,3,29569,294
00:00:00:00:00:01,24949,80,28,29570,292
00:00:00:00:00:03,10212,8000,38,29573,258
00:00:00:00:00:01,10421,25,34,29578,19
00:00:00:00:00:03,60932,20,21,29578,87
00:00:00:00:00:01,54874,3306,10,29579,215
00:00:00:00:00:03,26703,22,18,29582,140
00:00:00:00:00:01,30421,25,2,29586,229
00:00:00:00:00:01,43860,110,34,29590,233
00:00:00:00:00:02,37449,110,49,29596,13
00:00:00:00:00:02,30693,8443,13,29597,12
00:00:00:00:00:02,15585,8000,3,29598,254
00:00:00:00:00:01,16893,20,31,29601,45
00:00:00:00:00:01,33506,5061,18,29601,17
00:00:00:00:00:02,6215,8443,33,29603,173
00:00:00:00:00:03,42653,22,8,29603,12
00:00:00:00:00:03,22543,143,9,29603,267
00:00:00:00:00:01,14669,5060,42,29604,176
00:00:00:00:00:02,27700,20,12,29606,222
00:00:00:00:00:02,10037,443,42,29607,289
00:00:00:00:00:03,64872,8443,49,29607,137
00:00:00:00:00:01,6813,445,40,29609,98
00:00:00:00:00:03,14264,135,44,29614,122
00:00:00:00:00:02,12301,80,16,29616,36
00:00:00:00:00:01,46509,8080,20,29617,121
00:00:00:00:00:02,27101,80,40,29617,233
00:00:00:00:00:02,13488,80,38,29621,229
00:00:00:00:00:03,63984,25,28,29623,266
00:00:00:00:00:02,63133,80,50,29624,194
00:00:00:00:00:03,38484,53,38,29624,214
00:00:00:00:00:01,31275,80,26,29626,71
00:00:00:00:00:02,37815,8080,32,29628,263
00:00:00:00:00:03,42019,5432,49,29629,90
00:00:00:00:00:03,19799,8443,44,29630,69
00:00:00:00:00:03,17074,53,47,29632,144
00:00:00:00:00:03,3035,8000,6,29632,267
00:00:00:00:00:02,30946,443,21,29638,236
00:00:00:00:00:01,19282,8000,18,29640,22
00:00:00:00:00:03,8063,8000,4,29640,165
00:00:00:00:00:03,36016,3306,14,29646,94
00:00:00:00:00:03,52744,587,45,29652,180
00:00:00:00:00:02,11976,25,16,29653,200
00:00:00:00:00:02,59061,445,16,29654,126
00:00:00:00:00:01,62631,443,43,29659,266
00:00:00:00:00:03,13403,25,22,29660,260
00:00:00:00:00:03,41381,465,5,29661,98
00:00:00:00:00:02,33157,443,4,29663,191
00:00:00:00:00:03,4890,8443,16,29667,209
00:00:00:00:00:01,6523,110,2,29667,140
00:00:00:00:00:02,17053,443,9,29670,281
00:00:00:00:00:03,28275,8080,36,29672,57
00:00:00:00:00:01,64310,465,46,29672,134
00:00:00:00:00:02,52461,8443,19,29677,144
00:00:00:00:00:03,3060,8080,48,29685,18
00:00:00:00:00:01,25854,53,1,29687,35
00:00:00:00:00:02,49624,995,44,29687,119
00:00:00:00:00:02,27732,8000,42,29688,221
00:00:00:00:00:02,52655,143,34,29690,122
00:00:00:00:00:02,19850,20,8,29691,153
00:00:00:00:00:02,18843,8443,15,29692,154
00:00:00:00:00:03,14184,80,25,29696,66
00:00:00:00:00:02,41003,8000,47,29700,153
00:00:00:00:00:01,48559,443,32,29701,256
00:00:00:00:00:03,4549,80,4,29704,141
00:00:00:00:00:02,14105,143,36,29706,9
00:00:00:00:00:02,18992,3306,24,29708,221
00:00:00:00:00:02,32152,443,43,29709,271
00:00:00:00:00:03,12450,80,34,29710,262
00:00:00:00:00:01,61827,3306,26,29711,140
00:00:00:00:00:01,2705,143,44,29713,170
00:00:00:00:00:03,9276,8443,7,29716,23
00:00:00:00:00:02,2875,8080,23,29718,243
00:00:00:00:00:01,39215,135,8,29718,250
00:00:00:00:00:01,59813,25,6,29721,110
00:00:00:00:00:02,43880,8443,1,29722,194
00:00:00:00:00:01,17405,8443,12,29726,248
00:00:00:00:00:02,15651,5432,4,29727,172
00:00:00:00:00:01,26626,443,22,29730,217
00:00:00:00:00:03,60839,8000,4,29733,266
00:00:00:00:00:03,46533,80,39,29734,189
00:00:00:00:00:01,62471,8443,25,29734,125
00:00:00:00:00:03,61420,443,9,29739,85
00:00:00:00:00:01,50297,110,46,29741,216
00:00:00:00:00:01,25393,8080,47,29742,68
00:00:00:00:00:02,21583,8443,7,29745,74
00:00:00:00:00:03,56236,80,36,29745,190
00:00:00:00:00:02,56628,443,6,29745,171
00:00:00:00:00:02,42192,8443,36,29747,126
00:00:00:00:00:01,27461,53,21,29754,177
00:00:00:00:00:01,56334,8443,50,29755,150
00:00:00:00:00:03,15556,21,16,29756,37
00:00:00:00:00:03,18370,137,11,29756,266
00:00:00:00:00:02,1081,22,13,29759,20
00:00:00:00:00:01,19660,138,46,29760,208
00:00:00:00:00:02,48602,80,23,29763,4
00:00:00:00:00:03,13993,137,40,29763,37
00:00:00:00:00:03,53305,22,34,29763,108
00:00:00:00:00:01,27711,80,6,29765,231
00:00:00:00:00:01,25297,8443,23,29767,88
00:00:00:00:00:03,18624,5060,18,29767,179
00:00:00:00:00:03,60424,8080,2,29769,213
00:00:00:00:00:03,25946,80,43,29769,145
00:00:00:00:00:02,40024,53,14,29773,39
00:00:00:00:00:02,21316,110,43,29773,296
00:00:00:00:00:01,36295,80,30,29774,44
00:00:00:00:00:02,27102,25,40,29778,225
00:00:00:00:00:01,4720,5060,27,29781,155
00:00:00:00:00:01,6195,80,47,29782,157
00:00:00:00:00:02,52563,8443,4,29783,271
00:00:00:00:00:02,54492,53,9,29786,279
00:00:00:00:00:03,28429,80,24,29793,252
00:00:00:00:00:03,9857,143,20,29795,129
00:00:00:00:00:03,30246,21,33,29797,33
00:00:00:00:00:01,15938,993,15,29799,270
00:00:00:00:00:03,19057,443,17,29806,227
00:00:00:00:00:01,60094,8000,5,29807,299
00:00:00:00:00:03,28683,995,14,29812,174
00:00:00:00:00:01,14215,139,8,29815,209
00:00:00:00:00:03,31591,465,28,29816,135
00:00:00:00:00:02,2052,443,41,29817,218
00:00:00:00:00:02,35484,22,34,29820,188
00:00:00:00:00:02,29626,443,32,29828,146
00:00:00:00:00:02,30601,5061,1,29833,174
00:00:00:00:00:01,25239,25,39,29833,297
00:00:00:00:00:02,54416,443,43,29834,94
00:00:00:00:00:03,54925,138,25,29836,94
00:00:00:00:00:02,51574,53,24,29839,146
00:00:00:00:00:01,63591,5432,39,29839,159
00:00:00:00:00:03,18081,143,40,29840,269
00:00:00:00:00:02,11709,443,18,29841,166
00:00:00:00:00:02,1073,21,27,29841,207
00:00:00:00:00:03,2455,8080,43,29841,8
00:00:00:00:00:01,45173,8080,27,29843,121
00:00:00:00:00:03,39349,8443,23,29843,69
00:00:00:00:00:01,31397,8080,30,29844,43
00:00:00:00:00:02,7956,8443,3,29846,60
00:00:00:00:00:02,23213,8080,37,29847,72
00:00:00:00:00:01,17902,53,45,29848,292
00:00:00:00:00:03,12728,443,3,29854,58
00:00:00:00:00:03,30411,8080,12,29855,37
00:00:00:00:00:03,37486,8000,27,29856,56
00:00:00:00:00:03,53039,993,22,29860,151
00:00:00:00:00:01,60065,80,14,29861,259
00:00:00:00:00:03,30342,80,21,29864,289
00:00:00:00:00:03,14416,8000,8,29865,178
00:00:00:00:00:03,22848,465,50,29867,173
00:00:00:00:00:03,26677,8000,50,29867,261
00:00:00:00:00:03,43868,8000,13,29868,197
00:00:00:00:00:01,20857,143,5,29868,80
00:00:00:00:00:01,15659,8000,35,29869,113
